"","sitename","date","pm25count","pm25","latitude","longitude"
"248","43. Rajshahi, Thakurmara2",2022-05-01 22:00:00,4,28.25,24.3955383,88.5699585
"249","43. Rajshahi, Thakurmara2",2022-05-01 23:00:00,4,29.75,24.3955383,88.5699585
"250","43. Rajshahi, Thakurmara2",2022-05-02 00:00:00,4,30,24.3955383,88.5699585
"251","43. Rajshahi, Thakurmara2",2022-05-02 01:00:00,4,30,24.3955383,88.5699585
"252","43. Rajshahi, Thakurmara2",2022-05-02 02:00:00,4,29.5,24.3955383,88.5699585
"253","43. Rajshahi, Thakurmara2",2022-05-02 03:00:00,4,28.25,24.3955383,88.5699585
"254","43. Rajshahi, Thakurmara2",2022-05-02 04:00:00,4,27,24.3955383,88.5699585
"255","43. Rajshahi, Thakurmara2",2022-05-02 05:00:00,4,24,24.3955383,88.5699585
"256","43. Rajshahi, Thakurmara2",2022-05-02 06:00:00,4,22.75,24.3955383,88.5699585
"257","43. Rajshahi, Thakurmara2",2022-05-02 07:00:00,4,21.75,24.3955383,88.5699585
"258","43. Rajshahi, Thakurmara2",2022-05-02 08:00:00,4,23,24.3955383,88.5699585
"259","43. Rajshahi, Thakurmara2",2022-05-02 09:00:00,4,23.25,24.3955383,88.5699585
"260","43. Rajshahi, Thakurmara2",2022-05-02 10:00:00,4,23.75,24.3955383,88.5699585
"261","43. Rajshahi, Thakurmara2",2022-05-02 11:00:00,4,24,24.3955383,88.5699585
"262","43. Rajshahi, Thakurmara2",2022-05-02 12:00:00,4,20.25,24.3955383,88.5699585
"263","43. Rajshahi, Thakurmara2",2022-05-02 13:00:00,4,17.5,24.3955383,88.5699585
"264","43. Rajshahi, Thakurmara2",2022-05-02 14:00:00,4,15.75,24.3955383,88.5699585
"265","43. Rajshahi, Thakurmara2",2022-05-02 15:00:00,4,14.5,24.3955383,88.5699585
"266","43. Rajshahi, Thakurmara2",2022-05-02 16:00:00,4,14.25,24.3955383,88.5699585
"267","43. Rajshahi, Thakurmara2",2022-05-02 17:00:00,4,14,24.3955383,88.5699585
"268","43. Rajshahi, Thakurmara2",2022-05-02 18:00:00,4,14.75,24.3955383,88.5699585
"269","43. Rajshahi, Thakurmara2",2022-05-02 19:00:00,4,15.25,24.3955383,88.5699585
"270","43. Rajshahi, Thakurmara2",2022-05-02 20:00:00,4,23.5,24.3955383,88.5699585
"271","43. Rajshahi, Thakurmara2",2022-05-02 21:00:00,4,26.5,24.3955383,88.5699585
"272","43. Rajshahi, Thakurmara2",2022-05-02 22:00:00,4,27.75,24.3955383,88.5699585
